route,FL_DATE,avg_arr_delay,avg_dep_delay,flights
ASE-ATL,2020-01-01,-17.166666666666668,-3.0555555555555554,18
ASE-DEN,2018-08-01,4.3558558558558556,5.346846846846847,222
ASE-DEN,2020-01-01,-14.866666666666667,-6.94,150
ASE-DFW,2018-08-01,4.533333333333333,20.903225806451612,31
ASE-DFW,2020-01-01,-11.040816326530612,-4.392156862745098,51
ASE-IAH,2018-08-01,20.714285714285715,19.047619047619047,21
ASE-IAH,2020-01-01,-17.901639344262296,-5.754098360655738,61
ASE-LAX,2018-08-01,-3.5918367346938775,2.4693877551020407,98
ASE-LAX,2020-01-01,-21.27102803738318,-5.392523364485982,107
ASE-ORD,2018-08-01,13.56060606060606,15.43939393939394,66
ASE-ORD,2020-01-01,-13.434782608695652,-4.405797101449275,69
ASE-PHX,2020-01-01,-20.476190476190474,-5.476190476190476,21
ASE-SFO,2018-08-01,16.06451612903226,14.870967741935484,31
ASE-SFO,2020-01-01,-21.94736842105263,-7.2368421052631575,38
ASE-SLC,2018-08-01,16.672131147540984,21.475409836065573,61
ASE-SLC,2020-01-01,-20.66,-7.0,50
ATL-ABE,2018-08-01,-0.7303370786516854,6.382022471910112,89
ATL-ABE,2020-01-01,-14.53623188405797,-3.4347826086956523,69
ATL-ABQ,2018-08-01,-4.752688172043011,3.3225806451612905,93
ATL-ABQ,2020-01-01,-10.75,-0.5384615384615384,52
ATL-ABY,2018-08-01,21.45977011494253,22.068181818181817,88
ATL-ABY,2020-01-01,-7.802631578947368,0.013157894736842105,76
ATL-ACY,2018-08-01,17.70967741935484,16.451612903225808,31
ATL-AEX,2018-08-01,5.4,10.191666666666666,120
ATL-AEX,2020-01-01,-10.239583333333334,-2.845360824742268,97
ATL-AGS,2018-08-01,6.134199134199134,9.862222222222222,234
ATL-AGS,2020-01-01,-9.848484848484848,-3.2474747474747474,198
ATL-ALB,2018-08-01,-2.5168539325842696,5.438202247191011,89
ATL-ALB,2020-01-01,-6.012987012987013,-1.9350649350649352,77
ATL-ANC,2018-08-01,5.612903225806452,20.06451612903226,31
ATL-ASE,2020-01-01,-15.6,7.380952380952381,21
ATL-ATW,2018-08-01,-3.0727272727272728,10.833333333333334,55
ATL-ATW,2020-01-01,-14.150943396226415,-3.339622641509434,53
ATL-AUS,2018-08-01,11.991428571428571,16.502857142857142,350
ATL-AUS,2020-01-01,-7.552346570397112,-0.05054151624548736,277
ATL-AVL,2018-08-01,8.318777292576419,12.1,231
ATL-AVL,2020-01-01,-9.07514450867052,-0.5170454545454546,176
ATL-AVP,2018-08-01,-14.35483870967742,-6.129032258064516,31
ATL-AVP,2020-01-01,-16.076923076923077,-5.115384615384615,26
ATL-BDL,2018-08-01,-0.9710144927536232,5.555555555555555,207
ATL-BDL,2020-01-01,-8.044692737430168,-1.541899441340782,179
ATL-BHM,2018-08-01,0.6346749226006192,8.596273291925465,323
ATL-BHM,2020-01-01,-8.844357976653697,-1.7626459143968871,257
ATL-BMI,2018-08-01,9.693181818181818,17.51685393258427,89
ATL-BMI,2020-01-01,-13.631578947368421,-1.8311688311688312,77
ATL-BNA,2018-08-01,3.582366589327146,9.54861111111111,432
ATL-BNA,2020-01-01,-9.158730158730158,-0.9815303430079155,379
ATL-BOS,2018-08-01,16.40858505564388,20.065182829888712,629
ATL-BOS,2020-01-01,-10.277777777777779,-0.3888888888888889,414
ATL-BQK,2018-08-01,-5.186813186813187,0.3626373626373626,91
ATL-BQK,2020-01-01,-12.038461538461538,-0.8461538461538461,78
ATL-BTR,2018-08-01,10.067307692307692,16.695652173913043,208
ATL-BTR,2020-01-01,-11.598726114649681,-2.8227848101265822,158
