route,FL_DATE,flights
LAX-ABQ,2018-08-01,240
LAX-ABQ,2020-01-01,100
LAX-ACV,2018-08-01,31
LAX-ACV,2020-01-01,57
LAX-ANC,2018-08-01,77
LAX-ANC,2020-01-01,27
LAX-ASE,2018-08-01,97
LAX-ASE,2020-01-01,117
LAX-ATL,2018-08-01,598
LAX-ATL,2020-01-01,440
LAX-AUS,2018-08-01,348
LAX-AUS,2020-01-01,279
LAX-BDL,2018-08-01,31
LAX-BDL,2020-01-01,6
LAX-BIL,2018-08-01,4
LAX-BLI,2018-08-01,15
LAX-BLI,2020-01-01,7
LAX-BNA,2018-08-01,197
LAX-BNA,2020-01-01,155
LAX-BOI,2018-08-01,71
LAX-BOI,2020-01-01,94
LAX-BOS,2018-08-01,564
LAX-BOS,2020-01-01,324
LAX-BUF,2018-08-01,31
LAX-BUF,2020-01-01,13
LAX-BWI,2018-08-01,193
LAX-BWI,2020-01-01,150
LAX-BZN,2018-08-01,44
LAX-BZN,2020-01-01,30
LAX-CID,2018-08-01,4
LAX-CLE,2018-08-01,85
LAX-CLE,2020-01-01,60
LAX-CLT,2018-08-01,181
LAX-CLT,2020-01-01,181
LAX-CMH,2018-08-01,62
LAX-CMH,2020-01-01,51
LAX-COS,2018-08-01,73
LAX-COS,2020-01-01,56
LAX-CVG,2018-08-01,92
LAX-CVG,2020-01-01,37
LAX-DAL,2018-08-01,209
LAX-DAL,2020-01-01,206
LAX-DCA,2018-08-01,124
LAX-DCA,2020-01-01,104
LAX-DEN,2018-08-01,744
LAX-DEN,2020-01-01,520
LAX-DFW,2018-08-01,720
LAX-DFW,2020-01-01,482
LAX-DRO,2018-08-01,4
LAX-DSM,2018-08-01,4
LAX-DTW,2018-08-01,260
LAX-DTW,2020-01-01,164
LAX-EGE,2020-01-01,21
LAX-ELP,2018-08-01,121
LAX-ELP,2020-01-01,46
LAX-EUG,2018-08-01,71
LAX-EUG,2020-01-01,106
LAX-EWR,2018-08-01,463
LAX-EWR,2020-01-01,298
LAX-FAR,2018-08-01,4
LAX-FAT,2018-08-01,244
LAX-FAT,2020-01-01,148
LAX-FCA,2018-08-01,43
LAX-FLG,2018-08-01,4
LAX-FLL,2018-08-01,124
LAX-FLL,2020-01-01,186
LAX-FSD,2018-08-01,4
LAX-GEG,2018-08-01,31
LAX-GEG,2020-01-01,35
LAX-GJT,2018-08-01,4
LAX-HDN,2020-01-01,26
LAX-HNL,2018-08-01,539
LAX-HNL,2020-01-01,390
LAX-HOU,2018-08-01,130
LAX-HOU,2020-01-01,117
LAX-IAD,2018-08-01,387
LAX-IAD,2020-01-01,223
LAX-IAH,2018-08-01,475
LAX-IAH,2020-01-01,329
LAX-ICT,2018-08-01,4
LAX-IDA,2018-08-01,8
LAX-IND,2018-08-01,119
LAX-IND,2020-01-01,54
LAX-ITO,2018-08-01,22
LAX-ITO,2020-01-01,16
LAX-JAC,2018-08-01,59
LAX-JAC,2020-01-01,49
LAX-JFK,2018-08-01,1087
LAX-JFK,2020-01-01,878
LAX-KOA,2018-08-01,182
LAX-KOA,2020-01-01,124
LAX-LAS,2018-08-01,1104
LAX-LAS,2020-01-01,939
LAX-LIH,2018-08-01,192
LAX-LIH,2020-01-01,100
LAX-LIT,2018-08-01,4
LAX-MCI,2018-08-01,173
LAX-MCI,2020-01-01,124
LAX-MCO,2018-08-01,309
LAX-MCO,2020-01-01,232
LAX-MDW,2018-08-01,180
LAX-MDW,2020-01-01,108
LAX-MEM,2018-08-01,36
LAX-MEM,2020-01-01,32
LAX-MFE,2018-08-01,4
LAX-MFR,2018-08-01,96
LAX-MFR,2020-01-01,82
LAX-MIA,2018-08-01,256
LAX-MIA,2020-01-01,214
LAX-MKE,2018-08-01,31
LAX-MKE,2020-01-01,4
LAX-MMH,2018-08-01,30
LAX-MMH,2020-01-01,23
LAX-MRY,2018-08-01,139
LAX-MRY,2020-01-01,99
LAX-MSN,2018-08-01,1
LAX-MSN,2020-01-01,30
LAX-MSO,2018-08-01,39
LAX-MSO,2020-01-01,1
LAX-MSP,2018-08-01,272
LAX-MSP,2020-01-01,191
LAX-MSY,2018-08-01,224
LAX-MSY,2020-01-01,172
LAX-MTJ,2020-01-01,16
LAX-OAK,2018-08-01,590
LAX-OAK,2020-01-01,362
LAX-OGG,2018-08-01,337
LAX-OGG,2020-01-01,224
LAX-OKC,2018-08-01,71
LAX-OMA,2018-08-01,62
LAX-OMA,2020-01-01,50
LAX-ORD,2018-08-01,764
LAX-ORD,2020-01-01,503
LAX-PDX,2018-08-01,540
LAX-PDX,2020-01-01,308
LAX-PHL,2018-08-01,243
LAX-PHL,2020-01-01,185
LAX-PHX,2018-08-01,715
LAX-PHX,2020-01-01,477
LAX-PIT,2018-08-01,56
LAX-PIT,2020-01-01,25
LAX-PRC,2018-08-01,3
LAX-PRC,2020-01-01,27
LAX-PSC,2018-08-01,4
LAX-PSC,2020-01-01,5
LAX-PSP,2018-08-01,30
LAX-PSP,2020-01-01,27
LAX-PVU,2018-08-01,9
LAX-PVU,2020-01-01,8
LAX-RDD,2020-01-01,29
LAX-RDM,2018-08-01,62
LAX-RDM,2020-01-01,64
LAX-RDU,2018-08-01,102
LAX-RDU,2020-01-01,51
LAX-RNO,2018-08-01,312
LAX-RNO,2020-01-01,143
LAX-SAN,2018-08-01,511
LAX-SAN,2020-01-01,222
LAX-SAT,2018-08-01,245
LAX-SAT,2020-01-01,137
LAX-SBA,2018-08-01,125
LAX-SBA,2020-01-01,86
LAX-SBP,2018-08-01,123
LAX-SBP,2020-01-01,85
LAX-SCK,2020-01-01,50
LAX-SDF,2020-01-01,20
LAX-SEA,2018-08-01,946
LAX-SEA,2020-01-01,536
LAX-SFO,2018-08-01,1581
LAX-SFO,2020-01-01,995
LAX-SGF,2018-08-01,10
LAX-SGF,2020-01-01,4
LAX-SGU,2018-08-01,31
LAX-SGU,2020-01-01,25
LAX-SJC,2018-08-01,773
LAX-SJC,2020-01-01,419
LAX-SLC,2018-08-01,522
LAX-SLC,2020-01-01,461
LAX-SMF,2018-08-01,633
LAX-SMF,2020-01-01,329
LAX-STL,2018-08-01,152
LAX-STL,2020-01-01,127
LAX-STS,2018-08-01,85
LAX-STS,2020-01-01,46
LAX-SUN,2018-08-01,31
LAX-SUN,2020-01-01,28
LAX-TPA,2018-08-01,103
LAX-TPA,2020-01-01,32
LAX-TUL,2018-08-01,9
LAX-TUL,2020-01-01,7
LAX-TUS,2018-08-01,238
LAX-TUS,2020-01-01,170
LAX-XNA,2018-08-01,35
LBB-AUS,2018-08-01,28
LBB-AUS,2020-01-01,27
LBB-DAL,2018-08-01,146
LBB-DAL,2020-01-01,127
LBB-DEN,2018-08-01,61
LBB-DEN,2020-01-01,80
LBB-DFW,2018-08-01,177
LBB-DFW,2020-01-01,159
LBB-HOU,2020-01-01,5
LBB-IAH,2018-08-01,101
LBB-IAH,2020-01-01,77
LBB-LAS,2018-08-01,35
LBB-LAS,2020-01-01,30
LBB-PHX,2018-08-01,31
LBB-PHX,2020-01-01,24
LBE-FLL,2018-08-01,31
LBE-FLL,2020-01-01,22
LBE-MCO,2018-08-01,30
LBE-MCO,2020-01-01,28
LBE-MYR,2018-08-01,30
LBE-RSW,2020-01-01,13
LBE-TPA,2020-01-01,6
LBF-DEN,2018-08-01,54
LBF-DEN,2020-01-01,49
LBL-DEN,2018-08-01,27
LBL-DEN,2020-01-01,23
LBL-PUB,2018-08-01,27
LBL-PUB,2020-01-01,22
LCH-DFW,2018-08-01,88
LCH-DFW,2020-01-01,60
LCH-IAH,2018-08-01,89
LCH-IAH,2020-01-01,80
LCK-AUS,2018-08-01,4
LCK-FLL,2018-08-01,9
LCK-FLL,2020-01-01,6
LCK-JAX,2018-08-01,4
LCK-MYR,2018-08-01,28
LCK-PGD,2018-08-01,10
LCK-PGD,2020-01-01,11
LCK-PIE,2018-08-01,13
LCK-PIE,2020-01-01,7
LCK-SAV,2018-08-01,11
LCK-SAV,2020-01-01,1
LCK-SFB,2018-08-01,13
LCK-SFB,2020-01-01,9
LCK-SRQ,2020-01-01,8
LCK-VPS,2018-08-01,9
LEX-ATL,2018-08-01,228
LEX-ATL,2020-01-01,204
LEX-CLT,2018-08-01,142
LEX-CLT,2020-01-01,12
LEX-DCA,2018-08-01,26
LEX-DCA,2020-01-01,19
LEX-DFW,2018-08-01,79
LEX-DFW,2020-01-01,61
LEX-DTW,2018-08-01,127
LEX-DTW,2020-01-01,101
LEX-EWR,2018-08-01,28
LEX-FLL,2018-08-01,11
LEX-FLL,2020-01-01,7
LEX-IAD,2020-01-01,18
LEX-IAH,2018-08-01,31
LEX-IAH,2020-01-01,25
LEX-LGA,2018-08-01,30
LEX-LGA,2020-01-01,17
LEX-MSP,2018-08-01,29
LEX-MSP,2020-01-01,1
LEX-MYR,2018-08-01,9
LEX-ORD,2018-08-01,193
LEX-ORD,2020-01-01,100
LEX-PGD,2018-08-01,12
LEX-PGD,2020-01-01,9
LEX-PHL,2018-08-01,80
LEX-PIE,2018-08-01,12
LEX-PIE,2020-01-01,8
LEX-SAV,2018-08-01,4
LEX-SFB,2018-08-01,20
LEX-SFB,2020-01-01,15
LEX-VPS,2018-08-01,6
LFT-ATL,2018-08-01,120
LFT-ATL,2020-01-01,75
LFT-DFW,2018-08-01,121
LFT-DFW,2020-01-01,90
LFT-IAH,2018-08-01,116
LFT-IAH,2020-01-01,174
LGA-ACK,2018-08-01,46
LGA-ATL,2018-08-01,805
LGA-ATL,2020-01-01,688
LGA-AVL,2018-08-01,2
LGA-AVL,2020-01-01,6
LGA-BGR,2018-08-01,120
LGA-BGR,2020-01-01,64
LGA-BHM,2018-08-01,39
LGA-BHM,2020-01-01,51
LGA-BNA,2018-08-01,377
LGA-BNA,2020-01-01,361
LGA-BOS,2018-08-01,859
LGA-BOS,2020-01-01,717
LGA-BTV,2018-08-01,85
LGA-BTV,2020-01-01,46
LGA-BUF,2018-08-01,127
LGA-BUF,2020-01-01,89
LGA-BZN,2018-08-01,4
LGA-CAE,2018-08-01,28
LGA-CAE,2020-01-01,60
LGA-CAK,2018-08-01,20
LGA-CAK,2020-01-01,14
LGA-CHA,2018-08-01,26
LGA-CHA,2020-01-01,18
LGA-CHO,2018-08-01,72
LGA-CHO,2020-01-01,114
LGA-CHS,2018-08-01,86
LGA-CHS,2020-01-01,95
LGA-CLE,2018-08-01,405
LGA-CLE,2020-01-01,308
LGA-CLT,2018-08-01,492
LGA-CLT,2020-01-01,426
LGA-CMH,2018-08-01,307
LGA-CMH,2020-01-01,272
LGA-CVG,2018-08-01,240
LGA-CVG,2020-01-01,177
LGA-DAB,2020-01-01,4
LGA-DAL,2018-08-01,226
LGA-DAL,2020-01-01,118
LGA-DAY,2018-08-01,77
LGA-DAY,2020-01-01,60
LGA-DCA,2018-08-01,581
LGA-DCA,2020-01-01,408
LGA-DEN,2018-08-01,362
LGA-DEN,2020-01-01,321
LGA-DFW,2018-08-01,527
LGA-DFW,2020-01-01,444
LGA-DSM,2018-08-01,26
LGA-DSM,2020-01-01,19
LGA-DTW,2018-08-01,426
LGA-DTW,2020-01-01,343
LGA-EGE,2020-01-01,1
LGA-EYW,2020-01-01,4
LGA-FLL,2018-08-01,426
LGA-FLL,2020-01-01,335
LGA-GRR,2018-08-01,73
LGA-GRR,2020-01-01,63
LGA-GSO,2018-08-01,175
LGA-GSO,2020-01-01,175
LGA-GSP,2018-08-01,76
LGA-GSP,2020-01-01,64
LGA-HOU,2018-08-01,81
LGA-HOU,2020-01-01,72
LGA-IAD,2018-08-01,104
LGA-IAD,2020-01-01,82
LGA-IAH,2018-08-01,368
LGA-IAH,2020-01-01,321
LGA-ILM,2018-08-01,80
LGA-ILM,2020-01-01,68
LGA-IND,2018-08-01,206
LGA-IND,2020-01-01,175
LGA-JAC,2020-01-01,1
LGA-JAX,2018-08-01,106
LGA-JAX,2020-01-01,71
LGA-LEX,2018-08-01,29
LGA-LEX,2020-01-01,16
LGA-MCI,2018-08-01,148
LGA-MCI,2020-01-01,142
LGA-MCO,2018-08-01,317
LGA-MCO,2020-01-01,322
LGA-MDW,2018-08-01,172
LGA-MDW,2020-01-01,145
LGA-MEM,2018-08-01,110
LGA-MEM,2020-01-01,105
LGA-MHT,2018-08-01,27
LGA-MHT,2020-01-01,17
LGA-MIA,2018-08-01,507
LGA-MIA,2020-01-01,462
LGA-MKE,2018-08-01,187
LGA-MKE,2020-01-01,154
LGA-MSN,2018-08-01,70
LGA-MSN,2020-01-01,59
LGA-MSP,2018-08-01,274
LGA-MSP,2020-01-01,214
LGA-MSY,2018-08-01,86
LGA-MSY,2020-01-01,100
LGA-MTJ,2020-01-01,1
LGA-MVY,2018-08-01,43
LGA-MYR,2018-08-01,71
LGA-MYR,2020-01-01,24
LGA-OMA,2018-08-01,43
LGA-OMA,2020-01-01,40
LGA-ORD,2018-08-01,1271
LGA-ORD,2020-01-01,899
LGA-ORF,2018-08-01,229
LGA-ORF,2020-01-01,153
LGA-PBI,2018-08-01,202
LGA-PBI,2020-01-01,218
LGA-PHL,2018-08-01,85
LGA-PHL,2020-01-01,101
LGA-PIT,2018-08-01,339
LGA-PIT,2020-01-01,328
LGA-PWM,2018-08-01,191
LGA-PWM,2020-01-01,91
LGA-RDU,2018-08-01,375
LGA-RDU,2020-01-01,355
LGA-RIC,2018-08-01,252
LGA-RIC,2020-01-01,240
LGA-ROA,2018-08-01,28
LGA-ROA,2020-01-01,28
LGA-ROC,2018-08-01,123
LGA-ROC,2020-01-01,92
LGA-RSW,2018-08-01,89
LGA-RSW,2020-01-01,85
LGA-SAV,2018-08-01,83
LGA-SAV,2020-01-01,58
LGA-SDF,2018-08-01,151
LGA-SDF,2020-01-01,109
LGA-SRQ,2018-08-01,28
LGA-SRQ,2020-01-01,27
LGA-STL,2018-08-01,340
LGA-STL,2020-01-01,275
LGA-SYR,2018-08-01,107
LGA-SYR,2020-01-01,67
LGA-TPA,2018-08-01,178
LGA-TPA,2020-01-01,168
LGA-TVC,2018-08-01,26
LGA-TYS,2018-08-01,42
LGA-TYS,2020-01-01,112
LGA-XNA,2018-08-01,71
LGA-XNA,2020-01-01,62
LGB-AUS,2018-08-01,62
LGB-AUS,2020-01-01,27
LGB-BOS,2018-08-01,31
LGB-BOS,2020-01-01,28
LGB-BZN,2020-01-01,2
LGB-DEN,2018-08-01,8
LGB-DEN,2020-01-01,8
LGB-FLL,2018-08-01,31
LGB-HNL,2018-08-01,31
LGB-HNL,2020-01-01,28
LGB-JFK,2018-08-01,61
LGB-JFK,2020-01-01,48
LGB-LAS,2018-08-01,169
LGB-LAS,2020-01-01,202
LGB-OAK,2018-08-01,239
LGB-OAK,2020-01-01,176
LGB-PDX,2018-08-01,62
LGB-PDX,2020-01-01,27
LGB-PHX,2018-08-01,85
LGB-PHX,2020-01-01,76
LGB-RNO,2018-08-01,31
LGB-RNO,2020-01-01,29
LGB-SEA,2018-08-01,62
LGB-SEA,2020-01-01,27
LGB-SFO,2018-08-01,146
LGB-SFO,2020-01-01,54
LGB-SJC,2018-08-01,122
LGB-SJC,2020-01-01,171
LGB-SLC,2018-08-01,217
LGB-SLC,2020-01-01,201
LGB-SMF,2018-08-01,124
LGB-SMF,2020-01-01,168
LIH-DEN,2018-08-01,31
LIH-DEN,2020-01-01,29
LIH-HNL,2018-08-01,644
LIH-HNL,2020-01-01,656
LIH-KOA,2018-08-01,44
LIH-KOA,2020-01-01,23
LIH-LAX,2018-08-01,190
LIH-LAX,2020-01-01,100
LIH-OAK,2018-08-01,43
LIH-OAK,2020-01-01,44
LIH-OGG,2018-08-01,124
LIH-OGG,2020-01-01,85
LIH-PDX,2020-01-01,25
LIH-PHX,2018-08-01,30
LIH-PHX,2020-01-01,29
LIH-SAN,2018-08-01,28
LIH-SAN,2020-01-01,17
LIH-SEA,2018-08-01,75
LIH-SEA,2020-01-01,69
LIH-SFO,2018-08-01,52
LIH-SFO,2020-01-01,30
LIH-SJC,2018-08-01,26
LIH-SJC,2020-01-01,25
LIT-ATL,2018-08-01,201
LIT-ATL,2020-01-01,185
LIT-CLT,2018-08-01,113
LIT-CLT,2020-01-01,101
LIT-DAL,2018-08-01,89
LIT-DAL,2020-01-01,62
LIT-DCA,2018-08-01,31
LIT-DCA,2020-01-01,25
LIT-DEN,2018-08-01,107
LIT-DEN,2020-01-01,43
LIT-DFW,2018-08-01,239
LIT-DFW,2020-01-01,171
LIT-DTW,2018-08-01,27
LIT-HOU,2020-01-01,23
LIT-IAH,2018-08-01,173
LIT-IAH,2020-01-01,110
LIT-LAS,2018-08-01,31
LIT-LAS,2020-01-01,27
LIT-LAX,2018-08-01,4
LIT-ORD,2018-08-01,177
LIT-ORD,2020-01-01,90
LIT-PHX,2018-08-01,28
LIT-PHX,2020-01-01,1
LIT-SFB,2018-08-01,4
LIT-SFB,2020-01-01,2
LIT-STL,2018-08-01,58
LIT-STL,2020-01-01,50
LNK-ATL,2018-08-01,24
LNK-ATL,2020-01-01,18
LNK-DEN,2018-08-01,92
LNK-DEN,2020-01-01,11
LNK-MSP,2018-08-01,89
LNK-MSP,2020-01-01,64
LNK-ORD,2018-08-01,90
LNK-ORD,2020-01-01,31
LNY-HNL,2018-08-01,154
LRD-DFW,2018-08-01,117
LRD-DFW,2020-01-01,95
LRD-IAH,2018-08-01,85
LRD-IAH,2020-01-01,81
LRD-LAS,2018-08-01,9
LRD-LAS,2020-01-01,8
LSE-DTW,2020-01-01,28
LSE-MSP,2018-08-01,89
LSE-MSP,2020-01-01,55
LSE-ORD,2018-08-01,113
LSE-ORD,2020-01-01,55
LWB-IAD,2018-08-01,13
LWB-IAD,2020-01-01,3
LWB-ORD,2018-08-01,30
LWB-ORD,2020-01-01,26
LWB-SHD,2018-08-01,29
LWS-BOI,2018-08-01,22
LWS-SEA,2018-08-01,44
LWS-SLC,2018-08-01,62
LWS-SLC,2020-01-01,62
LYH-CLT,2018-08-01,174
LYH-CLT,2020-01-01,63
MAF-DAL,2018-08-01,142
MAF-DAL,2020-01-01,130
MAF-DEN,2018-08-01,92
MAF-DEN,2020-01-01,56
MAF-DFW,2018-08-01,179
MAF-DFW,2020-01-01,168
MAF-HOU,2018-08-01,89
MAF-HOU,2020-01-01,99
MAF-IAH,2018-08-01,203
MAF-IAH,2020-01-01,191
MAF-LAS,2018-08-01,35
MAF-LAS,2020-01-01,30
MAF-PHX,2018-08-01,31
MAF-PHX,2020-01-01,27
MBS-DTW,2018-08-01,147
MBS-DTW,2020-01-01,72
MBS-MSP,2018-08-01,27
MBS-MSP,2020-01-01,21
MBS-ORD,2018-08-01,85
MBS-ORD,2020-01-01,72
MCI-ABQ,2018-08-01,31
MCI-ABQ,2020-01-01,23
MCI-ATL,2018-08-01,373
MCI-ATL,2020-01-01,233
MCI-AUS,2018-08-01,28
MCI-AUS,2020-01-01,24
MCI-BNA,2018-08-01,118
MCI-BNA,2020-01-01,59
MCI-BOS,2018-08-01,109
MCI-BOS,2020-01-01,49
MCI-BWI,2018-08-01,83
MCI-BWI,2020-01-01,43
MCI-CLT,2018-08-01,122
MCI-CLT,2020-01-01,103
MCI-CVG,2018-08-01,50
MCI-CVG,2020-01-01,32
MCI-DAL,2018-08-01,198
MCI-DAL,2020-01-01,168
MCI-DCA,2018-08-01,136
MCI-DCA,2020-01-01,108
MCI-DEN,2018-08-01,416
MCI-DEN,2020-01-01,276
MCI-DFW,2018-08-01,207
MCI-DFW,2020-01-01,166
MCI-DTW,2018-08-01,147
MCI-DTW,2020-01-01,93
MCI-EWR,2018-08-01,82
MCI-EWR,2020-01-01,89
MCI-FLL,2018-08-01,31
MCI-FLL,2020-01-01,57
MCI-HOU,2018-08-01,87
MCI-HOU,2020-01-01,72
MCI-IAD,2018-08-01,61
MCI-IAD,2020-01-01,42
MCI-IAH,2018-08-01,153
MCI-IAH,2020-01-01,115
MCI-IND,2018-08-01,54
MCI-IND,2020-01-01,48
MCI-JAX,2018-08-01,5
MCI-LAS,2018-08-01,151
MCI-LAS,2020-01-01,111
MCI-LAX,2018-08-01,174
MCI-LAX,2020-01-01,101
MCI-LGA,2018-08-01,152
MCI-LGA,2020-01-01,122
MCI-MCO,2018-08-01,105
MCI-MCO,2020-01-01,98
MCI-MDW,2018-08-01,252
MCI-MDW,2020-01-01,159
MCI-MIA,2018-08-01,31
MCI-MIA,2020-01-01,56
MCI-MKE,2018-08-01,54
MCI-MKE,2020-01-01,42
MCI-MSP,2018-08-01,224
MCI-MSP,2020-01-01,163
MCI-MSY,2018-08-01,35
MCI-MSY,2020-01-01,30
MCI-MYR,2018-08-01,4
MCI-OAK,2018-08-01,36
MCI-OAK,2020-01-01,26
MCI-ORD,2018-08-01,361
MCI-ORD,2020-01-01,226
MCI-PDX,2018-08-01,62
MCI-PDX,2020-01-01,6
MCI-PGD,2018-08-01,9
MCI-PGD,2020-01-01,5
MCI-PHL,2018-08-01,98
MCI-PHL,2020-01-01,46
MCI-PHX,2018-08-01,172
MCI-PHX,2020-01-01,156
MCI-PIE,2018-08-01,4
MCI-PNS,2018-08-01,2
MCI-RDU,2018-08-01,48
MCI-RDU,2020-01-01,20
MCI-RSW,2018-08-01,1
MCI-RSW,2020-01-01,20
MCI-SAN,2018-08-01,89
MCI-SAN,2020-01-01,43
MCI-SAT,2018-08-01,31
MCI-SAT,2020-01-01,24
MCI-SEA,2018-08-01,124
MCI-SEA,2020-01-01,71
MCI-SFB,2018-08-01,4
MCI-SFO,2018-08-01,89
MCI-SFO,2020-01-01,25
MCI-SLC,2018-08-01,88
MCI-SLC,2020-01-01,60
MCI-STL,2018-08-01,111
MCI-STL,2020-01-01,87
MCI-TPA,2018-08-01,34
MCI-TPA,2020-01-01,33
MCI-VPS,2018-08-01,12
MCO-ABQ,2018-08-01,12
MCO-ACY,2018-08-01,61
MCO-ACY,2020-01-01,56
MCO-ALB,2018-08-01,66
MCO-ALB,2020-01-01,104
MCO-ATL,2018-08-01,787
MCO-ATL,2020-01-01,739
MCO-AUS,2018-08-01,85
MCO-AUS,2020-01-01,131
MCO-AVL,2020-01-01,21
MCO-BDL,2018-08-01,207
MCO-BDL,2020-01-01,210
MCO-BHM,2018-08-01,50
MCO-BHM,2020-01-01,58
MCO-BMI,2020-01-01,10
MCO-BNA,2018-08-01,126
MCO-BNA,2020-01-01,193
MCO-BOS,2018-08-01,322
MCO-BOS,2020-01-01,333
MCO-BQN,2018-08-01,45
MCO-BQN,2020-01-01,59
MCO-BTV,2020-01-01,10
MCO-BUF,2018-08-01,140
MCO-BUF,2020-01-01,117
MCO-BWI,2018-08-01,322
MCO-BWI,2020-01-01,388
MCO-CAK,2018-08-01,31
MCO-CAK,2020-01-01,18
MCO-CLE,2018-08-01,100
MCO-CLE,2020-01-01,132
MCO-CLT,2018-08-01,293
MCO-CLT,2020-01-01,341
MCO-CMH,2018-08-01,110
MCO-CMH,2020-01-01,157
MCO-COS,2018-08-01,17
MCO-COS,2020-01-01,11
MCO-CVG,2018-08-01,85
MCO-CVG,2020-01-01,118
MCO-DAL,2018-08-01,100
MCO-DAL,2020-01-01,138
MCO-DCA,2018-08-01,311
MCO-DCA,2020-01-01,295
MCO-DEN,2018-08-01,234
MCO-DEN,2020-01-01,284
MCO-DFW,2018-08-01,358
MCO-DFW,2020-01-01,309
MCO-DSM,2018-08-01,13
MCO-DSM,2020-01-01,11
MCO-DTW,2018-08-01,288
MCO-DTW,2020-01-01,307
MCO-EWR,2018-08-01,545
MCO-EWR,2020-01-01,497
MCO-FLL,2018-08-01,209
MCO-FLL,2020-01-01,124
MCO-GRB,2020-01-01,11
MCO-GRR,2018-08-01,13
MCO-GRR,2020-01-01,40
MCO-GSO,2020-01-01,24
MCO-GSP,2020-01-01,12
MCO-HOU,2018-08-01,126
MCO-HOU,2020-01-01,118
MCO-HPN,2018-08-01,120
MCO-HPN,2020-01-01,75
MCO-HSV,2020-01-01,8
MCO-IAD,2018-08-01,168
MCO-IAD,2020-01-01,162
MCO-IAH,2018-08-01,266
MCO-IAH,2020-01-01,257
MCO-IND,2018-08-01,122
MCO-IND,2020-01-01,174
MCO-ISP,2018-08-01,123
MCO-ISP,2020-01-01,94
MCO-JFK,2018-08-01,433
MCO-JFK,2020-01-01,294
MCO-LAS,2018-08-01,126
MCO-LAS,2020-01-01,97
MCO-LAX,2018-08-01,309
MCO-LAX,2020-01-01,237
MCO-LBE,2018-08-01,29
MCO-LBE,2020-01-01,22
MCO-LGA,2018-08-01,316
MCO-LGA,2020-01-01,306
MCO-MCI,2018-08-01,105
MCO-MCI,2020-01-01,93
MCO-MDT,2018-08-01,8
MCO-MDT,2020-01-01,14
MCO-MDW,2018-08-01,214
MCO-MDW,2020-01-01,185
MCO-MEM,2018-08-01,43
MCO-MEM,2020-01-01,39
MCO-MHT,2018-08-01,58
MCO-MHT,2020-01-01,59
MCO-MIA,2018-08-01,245
MCO-MIA,2020-01-01,181
MCO-MKE,2018-08-01,89
MCO-MKE,2020-01-01,108
MCO-MSN,2020-01-01,11
MCO-MSP,2018-08-01,132
MCO-MSP,2020-01-01,205
MCO-MSY,2018-08-01,129
MCO-MSY,2020-01-01,137
MCO-MYR,2020-01-01,8
MCO-OAK,2018-08-01,31
MCO-OAK,2020-01-01,4
MCO-OKC,2018-08-01,13
MCO-OKC,2020-01-01,9
MCO-OMA,2018-08-01,20
MCO-OMA,2020-01-01,13
MCO-ONT,2018-08-01,20
MCO-ONT,2020-01-01,5
MCO-ORD,2018-08-01,365
MCO-ORD,2020-01-01,418
MCO-ORF,2018-08-01,42
MCO-ORF,2020-01-01,45
MCO-ORH,2018-08-01,29
MCO-ORH,2020-01-01,25
MCO-PDX,2018-08-01,31
MCO-PDX,2020-01-01,33
MCO-PHL,2018-08-01,408
MCO-PHL,2020-01-01,420
MCO-PHX,2018-08-01,103
MCO-PHX,2020-01-01,111
MCO-PIT,2018-08-01,145
MCO-PIT,2020-01-01,181
MCO-PSE,2018-08-01,41
MCO-PSE,2020-01-01,31
MCO-PVD,2018-08-01,148
MCO-PVD,2020-01-01,161
MCO-PWM,2018-08-01,8
MCO-PWM,2020-01-01,16
MCO-RDU,2018-08-01,176
MCO-RDU,2020-01-01,210
MCO-RIC,2018-08-01,62
MCO-RIC,2020-01-01,76
MCO-ROC,2018-08-01,31
MCO-ROC,2020-01-01,34
MCO-SAN,2018-08-01,53
MCO-SAN,2020-01-01,33
MCO-SAT,2018-08-01,48
MCO-SAT,2020-01-01,42
MCO-SDF,2018-08-01,34
MCO-SDF,2020-01-01,44
MCO-SEA,2018-08-01,99
MCO-SEA,2020-01-01,87
MCO-SFO,2018-08-01,127
MCO-SFO,2020-01-01,87
MCO-SJC,2018-08-01,31
MCO-SJC,2020-01-01,4
MCO-SJU,2018-08-01,369
MCO-SJU,2020-01-01,366
MCO-SLC,2018-08-01,109
MCO-SLC,2020-01-01,87
MCO-SMF,2018-08-01,31
MCO-SMF,2020-01-01,4
MCO-STL,2018-08-01,151
MCO-STL,2020-01-01,162
MCO-STT,2020-01-01,12
MCO-SWF,2018-08-01,29
MCO-SWF,2020-01-01,24
MCO-SYR,2018-08-01,40
MCO-SYR,2020-01-01,36
MCO-TTN,2018-08-01,31
MCO-TTN,2020-01-01,49
MCO-TUL,2018-08-01,11
MCO-TYS,2020-01-01,9
MDT-ATL,2018-08-01,89
MDT-ATL,2020-01-01,78
MDT-BNA,2020-01-01,2
MDT-BOS,2018-08-01,21
MDT-CLT,2018-08-01,145
MDT-CLT,2020-01-01,84
MDT-DEN,2018-08-01,9
MDT-DFW,2020-01-01,28
MDT-DTW,2018-08-01,114
MDT-DTW,2020-01-01,76
MDT-IAD,2018-08-01,110
MDT-IAD,2020-01-01,1
MDT-MCO,2018-08-01,7
MDT-MCO,2020-01-01,14
