route,FL_DATE,flights
ATL-ATW,2020-01-01,53
ATL-AUS,2018-08-01,350
ATL-AUS,2020-01-01,277
ATL-AVL,2018-08-01,231
ATL-AVL,2020-01-01,176
ATL-AVP,2018-08-01,31
ATL-AVP,2020-01-01,26
ATL-BDL,2018-08-01,207
ATL-BDL,2020-01-01,179
ATL-BHM,2018-08-01,323
ATL-BHM,2020-01-01,257
ATL-BMI,2018-08-01,89
ATL-BMI,2020-01-01,77
ATL-BNA,2018-08-01,432
ATL-BNA,2020-01-01,379
ATL-BOS,2018-08-01,629
ATL-BOS,2020-01-01,414
ATL-BQK,2018-08-01,91
ATL-BQK,2020-01-01,78
ATL-BTR,2018-08-01,208
ATL-BTR,2020-01-01,158
ATL-BTV,2018-08-01,43
ATL-BTV,2020-01-01,30
ATL-BUF,2018-08-01,151
ATL-BUF,2020-01-01,106
ATL-BUR,2020-01-01,26
ATL-BWI,2018-08-01,637
ATL-BWI,2020-01-01,445
ATL-BZN,2018-08-01,13
ATL-BZN,2020-01-01,12
ATL-CAE,2018-08-01,232
ATL-CAE,2020-01-01,226
ATL-CAK,2018-08-01,89
ATL-CAK,2020-01-01,84
ATL-CHA,2018-08-01,290
ATL-CHA,2020-01-01,257
ATL-CHO,2018-08-01,149
ATL-CHO,2020-01-01,121
ATL-CHS,2018-08-01,329
ATL-CHS,2020-01-01,273
ATL-CID,2018-08-01,88
ATL-CID,2020-01-01,55
ATL-CLE,2018-08-01,322
ATL-CLE,2020-01-01,262
ATL-CLT,2018-08-01,548
ATL-CLT,2020-01-01,438
ATL-CMH,2018-08-01,336
ATL-CMH,2020-01-01,280
ATL-COS,2018-08-01,44
ATL-COS,2020-01-01,23
ATL-CRW,2018-08-01,146
ATL-CRW,2020-01-01,119
ATL-CSG,2018-08-01,120
ATL-CSG,2020-01-01,72
ATL-CVG,2018-08-01,262
ATL-CVG,2020-01-01,190
ATL-DAB,2018-08-01,158
ATL-DAB,2020-01-01,140
ATL-DAL,2018-08-01,297
ATL-DAL,2020-01-01,278
ATL-DAY,2018-08-01,122
ATL-DAY,2020-01-01,108
ATL-DCA,2018-08-01,593
ATL-DCA,2020-01-01,517
ATL-DEN,2018-08-01,533
ATL-DEN,2020-01-01,438
ATL-DFW,2018-08-01,612
ATL-DFW,2020-01-01,424
ATL-DHN,2018-08-01,120
ATL-DHN,2020-01-01,97
ATL-DSM,2018-08-01,93
ATL-DSM,2020-01-01,83
ATL-DTW,2018-08-01,499
ATL-DTW,2020-01-01,358
ATL-ECP,2018-08-01,186
ATL-ECP,2020-01-01,162
ATL-EGE,2020-01-01,30
ATL-ELM,2020-01-01,1
ATL-ELP,2018-08-01,83
ATL-ELP,2020-01-01,55
ATL-EVV,2018-08-01,92
ATL-EVV,2020-01-01,77
ATL-EWN,2018-08-01,62
ATL-EWN,2020-01-01,50
ATL-EWR,2018-08-01,580
ATL-EWR,2020-01-01,458
ATL-EYW,2018-08-01,124
ATL-EYW,2020-01-01,140
ATL-FAR,2020-01-01,7
ATL-FAY,2018-08-01,149
ATL-FAY,2020-01-01,118
ATL-FCA,2018-08-01,4
ATL-FLL,2018-08-01,747
ATL-FLL,2020-01-01,686
ATL-FNT,2018-08-01,89
ATL-FNT,2020-01-01,84
ATL-FSD,2018-08-01,30
ATL-FSD,2020-01-01,23
ATL-FSM,2018-08-01,62
ATL-FSM,2020-01-01,47
ATL-FWA,2018-08-01,122
ATL-FWA,2020-01-01,98
ATL-GNV,2018-08-01,203
ATL-GNV,2020-01-01,193
ATL-GPT,2018-08-01,143
ATL-GPT,2020-01-01,125
ATL-GRB,2018-08-01,52
ATL-GRB,2020-01-01,26
ATL-GRR,2018-08-01,150
ATL-GRR,2020-01-01,135
ATL-GSO,2018-08-01,236
ATL-GSO,2020-01-01,209
ATL-GSP,2018-08-01,327
ATL-GSP,2020-01-01,306
ATL-GTR,2018-08-01,89
ATL-GTR,2020-01-01,96
ATL-HDN,2020-01-01,31
ATL-HHH,2020-01-01,75
ATL-HNL,2018-08-01,31
ATL-HNL,2020-01-01,30
ATL-HOU,2018-08-01,383
ATL-HOU,2020-01-01,276
ATL-HPN,2018-08-01,201
ATL-HPN,2020-01-01,173
ATL-HSV,2018-08-01,232
ATL-HSV,2020-01-01,209
ATL-IAD,2018-08-01,380
ATL-IAD,2020-01-01,342
ATL-IAH,2018-08-01,461
ATL-IAH,2020-01-01,406
ATL-ICT,2018-08-01,92
ATL-ICT,2020-01-01,76
ATL-ILM,2018-08-01,163
ATL-ILM,2020-01-01,128
ATL-IND,2018-08-01,382
ATL-IND,2020-01-01,307
ATL-ISP,2018-08-01,6
ATL-ISP,2020-01-01,12
ATL-JAC,2018-08-01,12
ATL-JAC,2020-01-01,11
ATL-JAN,2018-08-01,207
ATL-JAN,2020-01-01,203
ATL-JAX,2018-08-01,490
ATL-JAX,2020-01-01,374
ATL-JFK,2018-08-01,302
ATL-JFK,2020-01-01,245
ATL-LAS,2018-08-01,404
ATL-LAS,2020-01-01,336
ATL-LAX,2018-08-01,597
ATL-LAX,2020-01-01,452
ATL-LEX,2018-08-01,228
ATL-LEX,2020-01-01,207
ATL-LFT,2018-08-01,120
ATL-LFT,2020-01-01,80
ATL-LGA,2018-08-01,809
ATL-LGA,2020-01-01,672
ATL-LIT,2018-08-01,201
ATL-LIT,2020-01-01,180
ATL-LNK,2018-08-01,25
ATL-LNK,2020-01-01,22
ATL-MBS,2020-01-01,1
ATL-MCI,2018-08-01,373
ATL-MCI,2020-01-01,274
ATL-MCO,2018-08-01,786
ATL-MCO,2020-01-01,724
ATL-MDT,2018-08-01,88
ATL-MDT,2020-01-01,78
ATL-MDW,2018-08-01,389
ATL-MDW,2020-01-01,291
ATL-MEM,2018-08-01,300
ATL-MEM,2020-01-01,248
ATL-MGM,2018-08-01,203
ATL-MGM,2020-01-01,153
ATL-MHT,2018-08-01,31
ATL-MIA,2018-08-01,555
ATL-MIA,2020-01-01,479
ATL-MKE,2018-08-01,290
ATL-MKE,2020-01-01,229
ATL-MLB,2018-08-01,122
ATL-MLB,2020-01-01,129
ATL-MLI,2018-08-01,91
ATL-MLI,2020-01-01,76
ATL-MLU,2018-08-01,115
ATL-MLU,2020-01-01,95
ATL-MOB,2018-08-01,225
ATL-MOB,2020-01-01,166
ATL-MSN,2018-08-01,117
ATL-MSN,2020-01-01,84
ATL-MSO,2018-08-01,4
ATL-MSP,2018-08-01,425
ATL-MSP,2020-01-01,330
ATL-MSY,2018-08-01,466
ATL-MSY,2020-01-01,379
ATL-MTJ,2020-01-01,7
ATL-MYR,2018-08-01,124
ATL-MYR,2020-01-01,106
ATL-OAJ,2018-08-01,119
ATL-OAJ,2020-01-01,93
ATL-OAK,2018-08-01,41
ATL-OAK,2020-01-01,22
ATL-OKC,2018-08-01,179
ATL-OKC,2020-01-01,151
ATL-OMA,2018-08-01,153
ATL-OMA,2020-01-01,133
ATL-ONT,2020-01-01,47
ATL-ORD,2018-08-01,756
ATL-ORD,2020-01-01,564
ATL-ORF,2018-08-01,266
ATL-ORF,2020-01-01,227
ATL-PBI,2018-08-01,370
ATL-PBI,2020-01-01,319
ATL-PDX,2018-08-01,152
ATL-PDX,2020-01-01,80
ATL-PHF,2018-08-01,113
ATL-PHF,2020-01-01,82
ATL-PHL,2018-08-01,555
ATL-PHL,2020-01-01,442
ATL-PHX,2018-08-01,276
ATL-PHX,2020-01-01,290
ATL-PIA,2018-08-01,89
ATL-PIA,2020-01-01,70
ATL-PIT,2018-08-01,314
ATL-PIT,2020-01-01,266
ATL-PNS,2018-08-01,246
ATL-PNS,2020-01-01,207
ATL-PSP,2020-01-01,17
ATL-PVD,2018-08-01,92
ATL-PVD,2020-01-01,76
ATL-PWM,2018-08-01,92
ATL-PWM,2020-01-01,25
ATL-RAP,2018-08-01,4
ATL-RDU,2018-08-01,465
ATL-RDU,2020-01-01,423
ATL-RIC,2018-08-01,386
ATL-RIC,2020-01-01,301
ATL-RNO,2020-01-01,5
ATL-ROA,2018-08-01,152
ATL-ROA,2020-01-01,119
ATL-ROC,2018-08-01,89
ATL-ROC,2020-01-01,76
ATL-RST,2018-08-01,52
ATL-RST,2020-01-01,30
ATL-RSW,2018-08-01,279
ATL-RSW,2020-01-01,269
ATL-SAN,2018-08-01,245
ATL-SAN,2020-01-01,161
ATL-SAT,2018-08-01,312
ATL-SAT,2020-01-01,222
ATL-SAV,2018-08-01,327
ATL-SAV,2020-01-01,258
ATL-SBN,2018-08-01,124
ATL-SBN,2020-01-01,95
ATL-SDF,2018-08-01,243
ATL-SDF,2020-01-01,238
ATL-SEA,2018-08-01,336
ATL-SEA,2020-01-01,176
ATL-SFO,2018-08-01,311
ATL-SFO,2020-01-01,233
ATL-SGF,2018-08-01,120
ATL-SGF,2020-01-01,108
ATL-SHV,2018-08-01,200
ATL-SHV,2020-01-01,156
ATL-SJC,2018-08-01,95
ATL-SJC,2020-01-01,77
ATL-SJU,2018-08-01,137
ATL-SJU,2020-01-01,114
ATL-SLC,2018-08-01,303
ATL-SLC,2020-01-01,217
ATL-SMF,2018-08-01,78
ATL-SMF,2020-01-01,81
ATL-SNA,2018-08-01,107
ATL-SNA,2020-01-01,76
